,epoch,loss_mean,loss_std,proposal_width,acceptance_rate,walltime
112,112,0.14548753023877273,0.054603220864044226,"tensor(0.624255, device='cuda:0')","tensor(0.505371, device='cuda:0')",0.8517248110001674
113,113,0.14331728969550367,0.05281593498467659,"tensor(0.645180, device='cuda:0')","tensor(0.495605, device='cuda:0')",0.8479473309998866
114,114,0.13828976385323832,0.05176017181310324,"tensor(0.647766, device='cuda:0')","tensor(0.516846, device='cuda:0')",0.8500751900028263
115,115,0.13518870219146736,0.05052758874649724,"tensor(0.637856, device='cuda:0')","tensor(0.504639, device='cuda:0')",0.8494199080014369
116,116,0.1336466432288732,0.04965199405607165,"tensor(0.637224, device='cuda:0')","tensor(0.504639, device='cuda:0')",0.8481449070022791
117,117,0.13140830889767818,0.049002640421864016,"tensor(0.631690, device='cuda:0')","tensor(0.505127, device='cuda:0')",0.8511735940010112
118,118,0.12785072983373874,0.047972232566206946,"tensor(0.640131, device='cuda:0')","tensor(0.505371, device='cuda:0')",0.8487914939978509
119,119,0.12545710424308476,0.047886703515111366,"tensor(0.648237, device='cuda:0')","tensor(0.507080, device='cuda:0')",0.853776341999037
120,120,0.12305841897744724,0.04547624691123091,"tensor(0.636741, device='cuda:0')","tensor(0.505127, device='cuda:0')",0.8471894659996906
121,121,0.11971038044600682,0.04550490184964645,"tensor(0.626721, device='cuda:0')","tensor(0.481934, device='cuda:0')",0.8463820680008212
122,122,0.11832038044713214,0.04417828393681891,"tensor(0.631997, device='cuda:0')","tensor(0.494629, device='cuda:0')",0.8495783799990022
123,123,0.11481686511900249,0.04336925635229233,"tensor(0.648016, device='cuda:0')","tensor(0.495605, device='cuda:0')",0.8535846329978085
124,124,0.112337064220727,0.04264561766716064,"tensor(0.627492, device='cuda:0')","tensor(0.507812, device='cuda:0')",0.8479898479999974
125,125,0.10977071656862203,0.04168013302549152,"tensor(0.621543, device='cuda:0')","tensor(0.508057, device='cuda:0')",0.8477974679990439
126,126,0.10771123741825786,0.04092371905732981,"tensor(0.633045, device='cuda:0')","tensor(0.494873, device='cuda:0')",0.8454063050012337
127,127,0.10611840302293304,0.039126921823125445,"tensor(0.634734, device='cuda:0')","tensor(0.507812, device='cuda:0')",0.8488423019989568
128,128,0.10238605764861534,0.03904715063542698,"tensor(0.607692, device='cuda:0')","tensor(0.486084, device='cuda:0')",0.8454100349990767
129,129,0.10032480544988179,0.03800817208215351,"tensor(0.647435, device='cuda:0')","tensor(0.494385, device='cuda:0')",0.8501353520005068
